User_Name,Five_most_used_Theme,Category
212.208.63.9,"{'Sig P210': 10, 'Israël': 4, '1982 en France': 3, ""Compagnie française d'assurance pour le commerce extérieur"": 3, 'Tarag': 2}",Thermopyles
212.234.6.102,"{'Burkina Faso': 8, 'Camp de concentration de Neuengamme': 6, 'James Stewart': 6, 'Cinéma italien': 4, 'Santos-Dumont': 4}",Xerxès Ier
212.234.78.234,"{'Megan Meier': 7, 'Pierre Schaeffer': 4, 'Fallas': 2, 'Bataille de Marathon': 1, 'Daniel Radcliffe': 1}",Bataille de Marathon
213.132.32.130,"{'Mandane': 5, ""Bataille d'El-Moungar"": 2, 'Mèdes': 2, 'François Achille Bazaine': 1, 'Léon Gambetta': 1}","Darius Ier,Miltiade le Jeune"
213.144.202.37,"{'Noisy-le-Sec': 2, ""Direction régionale de l'économie, de l'emploi, du travail et des solidarités"": 2, 'Banlieue': 2, 'Léonidas Ier de Sparte': 1, 'Canaan (région)': 1}",Léonidas Ier de Sparte
213.177.81.11,"{'Nuit de Cristal': 2, 'Histoire de Lyon': 1, 'Ténébreuse': 1, 'Thermopyles': 1, 'Autobus': 1}",Thermopyles
213.189.164.34,"{'Piotr Ilitch Tchaïkovski': 35, 'Lance Armstrong': 22, 'Pyrrhus Ier': 19, 'Natation sportive': 14, 'Natation': 13}",Xerxès Ier
213.209.110.130,"{'300 (bande dessinée)': 1, 'Titan Quest': 1}",300 (bande dessinée)
213.221.142.134,"{'Bataille des Thermopyles': 1, 'Darius Rochebin': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
213.245.120.254,{'Léonidas Ier de Sparte': 3},Léonidas Ier de Sparte
213.245.46.200,"{'Jean Cavaillès': 438, 'Le Train (film, 1964)': 21, 'Georges Garel': 8, 'Duel': 3, 'Vladimir Jankélévitch': 3}","Bataille des Thermopyles,Bataille des Thermopyles"
213.41.198.234,"{'Les Précieuses ridicules': 7, 'Girouette': 7, 'Domus': 5, 'Dracula': 5, ""L'École des femmes"": 3}",Thémistocle
213.41.199.170,"{'Calendrier républicain': 16, 'Jason': 6, 'Aubette': 5, ""Val-d'Oise"": 4, 'Clientélisme (Rome)': 4}",Léonidas Ier de Sparte
213.41.243.74,"{'Maïs Bt': 7, 'Architecture gothique': 7, 'Champ magnétique terrestre': 5, 'Enfant': 4, 'Sheryfa Luna': 4}",Phidippidès
213.41.246.247,"{'Charmed': 1, '300 (film)': 1}",300 (film)
213.41.248.250,"{'John Maeda': 3, 'Herblay-sur-Seine': 3, 'Marc Gicquel': 3, 'TGV Sud-Est': 2, 'Loïc Attelly': 2}",Spartatouille
213.49.118.83,{'Xerxès Ier': 1},Xerxès Ier
213.49.224.218,{'Spartatouille': 1},Spartatouille
213.49.238.27,{'Spartatouille': 1},Spartatouille
216.228.213.93,"{'Chaussée des Géants': 2, 'Parc national de Miguasha': 1, 'Léonidas Ier de Sparte': 1, 'Dracon': 1}",Léonidas Ier de Sparte
216.66.139.32,{'Guerres médiques': 1},Guerres médiques
216.73.74.40,"{'Lumière': 4, ""Géographie de l'Inde"": 3, 'Cour internationale de justice': 3, ""Éducation dans l'Antiquité"": 2, 'Flore de Madagascar': 2}",Bataille de Marathon
217.108.42.225,{'300 (film)': 1},300 (film)
217.117.36.122,{'Léonidas Ier de Sparte': 2},Léonidas Ier de Sparte
217.128.15.193,"{'Montesquieu (homonymie)': 6, 'Charles Perrault': 5, 'Égypte antique': 4, 'Loi des Douze Tables': 2, 'Escherichia coli': 1}",Guerres médiques
217.128.232.239,"{'Dynastie Sui': 3, 'Yasser Arafat': 2, ""Juan d'Autriche"": 2, 'Reconquête espagnole de la Nouvelle-Grenade': 2, 'Najwa Karam': 1}",Bataille de Salamine
217.128.53.84,"{'Opel Vectra': 5, 'Johan et Pirlouit (univers de fiction)': 5, 'Procrastination': 4, 'Yoko Tsuno (personnage)': 4, 'Jouef': 4}",300 (bande dessinée)
217.128.64.197,"{'Jean Anouilh': 6, 'Walk Hard: The Dewey Cox Story': 3, 'Simpson Horror Show XX': 2, 'Guerres médiques': 1, 'Erich Maria Remarque': 1}",Guerres médiques
217.136.35.214,"{'300 (film)': 1, 'Rio (film, 2011)': 1}",300 (film)
217.144.68.98,{'Xanthippe (père de Périclès)': 1},Xanthippe (père de Périclès)
217.167.0.153,"{'Championnat du monde féminin de handball 2011': 11, '9e cérémonie des Gérard de la télévision': 4, 'Aermacchi M-346': 4, 'Sport en Algérie': 3, 'Camilla Herrem': 3}",Bataille de Marathon
217.171.27.133,"{'Piñata': 5, ""Cyrille d'Alexandrie"": 4, 'Vallée de Viñales': 4, 'Brésil': 4, 'Chine': 3}",Guerres médiques
217.21.233.77,"{'Bataille des Thermopyles': 1, 'Trouble de stress post-traumatique': 1, 'Coupe de la Ligue française de football 2019-2020': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
217.238.190.232,{'Darius Ier': 1},Darius Ier
219.116.255.2,"{'Thémistocle': 1, 'Aristophane': 1, 'Euripide': 1}",Thémistocle
222.166.160.154,"{'300 (film)': 1, 'Panzerkampfwagen VI Tiger': 1}",300 (film)
24.122.234.115,"{'22 Jump Street': 8, 'New Jack City': 8, ""Bridget Jones : L'Âge de raison (film)"": 6, 'Godzilla (film, 2014)': 5, '47 Ronin (film, 2013)': 5}",300 : La Naissance d'un empire
24.201.52.159,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
24.202.243.249,{'Bataille de Salamine': 3},Bataille de Salamine
24.202.91.220,"{'Le Survivant (émission de télévision)': 2, ""The Amazing Spider-Man : Le Destin d'un héros"": 1, 'Vrak la Vie': 1, ""300 : La Naissance d'un empire"": 1, 'Spider-Man (série de films)': 1}",300 : La Naissance d'un empire
24.226.185.14,{'Bataille de Platées': 2},Bataille de Platées
24.241.36.80,{'300 (film)': 1},300 (film)
24.37.33.74,"{'Moscou': 5, 'Inuits': 5, 'Dans une galaxie près de chez vous': 5, 'Colbert': 4, 'Milice canadienne (Nouvelle-France)': 4}",300 : La Naissance d'un empire
24.48.43.229,"{'Henri Julien': 2, 'Xerxès Ier': 1}",Xerxès Ier
24.48.9.46,"{'Piânkhy': 5, 'Xerxès Ier': 4, 'Phasaël II': 4, ""Antipater l'Iduméen"": 3, 'Bérénice (fille de Salomé)': 3}","Darius Ier,Xerxès Ier"
24.50.80.191,"{'Bataille de Marathon': 6, 'Polatouche': 5, 'Charles Babbage': 2, 'Bataille des Thermopyles': 2, 'Hystaspès': 2}","Guerres médiques,Bataille de Marathon"
2600:100b:b01f:d054:f14c:9ab9:1158:f651,"{""Atlantide, l'empire perdu"": 2, '300 (film)': 1, 'Bill Farmer': 1}",300 (film)
